SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
41	1109	3970	3876
42	1109	7972	7802
43	1109	2676	2622
44	1109	1730	1696
45	1109	6920	6794
46	1109	3846	3734
47	1109	3141	3068
48	1109	730	704
49	1109	644	626
50	1109	7948	7735
51	1109	8975	8767
52	1109	4451	4311
53	1109	7485	7313
54	1109	3371	3291
55	1109	2494	2440
56	1109	3277	3195
57	1109	591	574
58	1109	5025	4891
59	1109	6232	6082
60	1109	3556	3474
61	1109	440	422
62	1109	3247	3174
63	1109	5012	4893
64	1109	1321	1284
65	1109	6445	6291
66	1109	4661	4561
67	1109	3511	3415
68	1109	2870	2780
69	1109	3737	3629
70	1109	9008	8799
71	1109	3419	3332
72	1109	5347	5232
73	1109	108	105
74	1109	6495	6319
75	1109	5327	5180
76	1109	6713	6549
77	1109	1828	1797
78	1109	1362	1320
79	1109	2301	2256
80	1109	915	877
81	1109	4348	4219
82	1109	1686	1640
83	1109	985	967
84	1109	7443	7217
85	1109	1499	1436
86	1109	4636	4504
87	1109	4564	4436
88	1109	645	624
89	1109	1960	1907
90	1109	1368	1327
91	1109	4674	4576
92	1109	1810	1749
93	1109	2205	2144
94	1109	888	870
95	1109	1625	1579
96	1109	1660	1607
0	1110	54514	52771
1	1110	2	0
2	1110	225	218
3	1110	2643	2583
4	1110	763	740
5	1110	1837	1781
6	1110	1391	1360
7	1110	5156	5058
8	1110	2728	2657
9	1110	3417	3342
10	1110	1119	1095
11	1110	4826	4709
12	1110	872	836
13	1110	136	118
14	1110	1877	1836
15	1110	1894	1838
16	1110	2751	2681
17	1110	1435	1412
18	1110	3061	2996
19	1110	5753	5617
20	1110	1126	1089
21	1110	1250	1219
22	1110	155	147
23	1110	1297	1257
24	1110	4984	4854
25	1110	99	95
26	1110	977	949
27	1110	3101	3011
28	1110	1404	1360
29	1110	3519	3427
30	1110	8162	7957
31	1110	1189	1148
32	1110	3802	3692
33	1110	1155	1130
34	1110	5434	5297
35	1110	2679	2622
36	1110	1535	1489
37	1110	184	182
38	1110	5738	5616
39	1110	10682	10467
